Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
GORRA-103760 NUDE-1;TALLA:Color:0;M:0;GORRA-103760 NUDE-1;5;22,27678571
gorra-103770-tinto-1;TALLA:Color:0;M:0;gorra-103770-tinto-1;5;22,27678571
polo-golf-pdt;TALLA:Color:0;S :0;polo-golf-pdt_variante_1;3;40,13392857
polo-golf-pdt;TALLA:Color:0;M:0;polo-golf-pdt_variante_2;4;40,13392857
polo-golf-pdt;TALLA:Color:0;L:0;polo-golf-pdt_variante_3;3;40,13392857
polo-95-pdt;TALLA:Color:0;S :0;polo-95-pdt_variante_1;3;43,70535714
polo-95-pdt;TALLA:Color:0;M:0;polo-95-pdt_variante_2;4;43,70535714
polo-95-pdt;TALLA:Color:0;L:0;polo-95-pdt_variante_3;3;43,70535714
polo-b-tricolor-pdt;TALLA:Color:0;S :0;polo-b-tricolor-pdt_variante_1;3;40,13392857
polo-b-tricolor-pdt;TALLA:Color:0;M:0;polo-b-tricolor-pdt_variante_2;4;40,13392857
polo-b-tricolor-pdt;TALLA:Color:0;L:0;polo-b-tricolor-pdt_variante_3;4;40,13392857
polo-clas-am-pdt;TALLA:Color:0;S :0;polo-clas-am-pdt_variante_1;4;35,66964286
polo-clas-am-pdt;TALLA:Color:0;M:0;polo-clas-am-pdt_variante_2;6;35,66964286
polo-clas-am-pdt;TALLA:Color:0;L:0;polo-clas-am-pdt_variante_3;4;35,66964286
polo-clas-am-pdt;TALLA:Color:0;XL:0;polo-clas-am-pdt_variante_4;2;35,66964286
polo-es-blanco-pdt;TALLA:Color:0;S :0;polo-es-blanco-pdt_variante_1;4;40,13392857
polo-es-blanco-pdt;TALLA:Color:0;M:0;polo-es-blanco-pdt_variante_2;5;40,13392857
polo-es-blanco-pdt;TALLA:Color:0;L:0;polo-es-blanco-pdt_variante_3;4;40,13392857
polo-franja-bord-pdt;TALLA:Color:0;S :0;polo-franja-bord-pdt_variante_1;3;43,70535714
polo-franja-bord-pdt;TALLA:Color:0;M:0;polo-franja-bord-pdt_variante_2;4;43,70535714
polo-franja-bord-pdt;TALLA:Color:0;L:0;polo-franja-bord-pdt_variante_3;4;43,70535714
polo-ecuestre-pdt;TALLA:Color:0;S :0;polo-ecuestre-pdt_variante_1;4;43,70535714
polo-ecuestre-pdt;TALLA:Color:0;M:0;polo-ecuestre-pdt_variante_2;6;43,70535714
polo-ecuestre-pdt;TALLA:Color:0;L:0;polo-ecuestre-pdt_variante_3;4;43,70535714
polo-bordado-franja-media-pdt;TALLA:Color:0;S :0;polo-bordado-franja-media-pdt_variante_1;3;43,70535714
polo-bordado-franja-media-pdt;TALLA:Color:0;M:0;polo-bordado-franja-media-pdt_variante_2;4;43,70535714
polo-bordado-franja-media-pdt;TALLA:Color:0;L:0;polo-bordado-franja-media-pdt_variante_3;3;43,70535714
polo-ocean-sailing-pdt;TALLA:Color:0;S :0;polo-ocean-sailing-pdt_variante_1;3;43,70535714
polo-ocean-sailing-pdt;TALLA:Color:0;M:0;polo-ocean-sailing-pdt_variante_2;4;43,70535714
polo-ocean-sailing-pdt;TALLA:Color:0;L:0;polo-ocean-sailing-pdt_variante_3;3;43,70535714
camisa-blanca-ox-pdt;TALLA:Color:0;S :0;camisa-blanca-ox-pdt_variante_1;6;47,27678571
camisa-blanca-ox-pdt;TALLA:Color:0;M:0;camisa-blanca-ox-pdt_variante_2;8;47,27678571
camisa-blanca-ox-pdt;TALLA:Color:0;L:0;camisa-blanca-ox-pdt_variante_3;6;47,27678571
camisa-blanca-ox-pdt;TALLA:Color:0;XL:0;camisa-blanca-ox-pdt_variante_4;2;47,27678571
camisa-celeste-ox-pdt;TALLA:Color:0;S :0;camisa-celeste-ox-pdt_variante_1;6;47,27678571
camisa-celeste-ox-pdt;TALLA:Color:0;M:0;camisa-celeste-ox-pdt_variante_2;8;47,27678571
camisa-celeste-ox-pdt;TALLA:Color:0;L:0;camisa-celeste-ox-pdt_variante_3;6;47,27678571
camisa-salmon-pdt;TALLA:Color:0;S :0;camisa-salmon-pdt_variante_1;2;47,27678571
camisa-salmon-pdt;TALLA:Color:0;M:0;camisa-salmon-pdt_variante_2;3;47,27678571
camisa-salmon-pdt;TALLA:Color:0;L:0;camisa-salmon-pdt_variante_3;2;47,27678571
camia-hat-pdt;TALLA:Color:0;S :0;camia-hat-pdt_variante_1;2;50,84821429
