id;Código de producto;imagen;imagen2;imagen3
164;MON-SAM18.5;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MON-SAM18.5.jpg
165;MON-SAM24;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MON-SAM24.jpg
166;MONVA1903H;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MONVA1903H.jpg
167;MOU-PADREDRAGONM601W;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-PADREDRAGONM601W.jpg
168;mou915;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/mou915.jpg
169;MOU110AZ;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU110AZ.jpg
170;MOU110N;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU110N.jpg
171;MOU8100R;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU8100R.jpg
172;MOU610G;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU610G.jpg
173;MOU-MTB;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-MTB.jpg
174;MOU-MTN;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-MTN.jpg
175;MOU-MTR;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-MTR.jpg
176;MOU-MTS;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-MTS.jpg
177;MOU7000N;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU7000N.jpg
178;MOUXG200N;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOUXG200N.jpg
179;MOU111K;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU111K.jpg
180;MOU100ML;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU100ML.jpg
181;MOU-110AZ;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-110AZ.jpg
182;MOUL110L;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOUL110L.jpg
183;MOU170LA;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU170LA.jpg
184;MOU170PL;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU170PL.jpg
185;MOU170LR;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU170LR.jpg
186;MOU3600MR;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU3600MR.jpg
187;MOU-PS2M;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-PS2M.jpg
188;MOU-N030;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MOU-N030.jpg
